admin1,question,answer,category
admin1,작성한 리뷰가 베스트 리뷰로 선정되면 어떤 알림을 받나요?,"베스트 리뷰로 선정되시면 즉시 카카오 알림톡이나 앱 푸시를 통해 '이달의 베스트 리뷰어 선정' 축하 메시지를 보내드립니다. 또한 마이페이지의 포인트 내역을 확인하시면 상금으로 지급되는 5,000포인트가 '베스트 리뷰 선정 보너스'라는 명목으로 즉시 적립되어 있는 것을 확인하실 수 있습니다. 선정된 리뷰는 서비스 메인 화면의 베스트 섹션에 한 달간 게시되어 다른 사용자들에게 큰 도움을 주게 됩니다.",리뷰/커뮤니티
admin1,커뮤니티에서 다른 사용자가 올린 사진을 저장해도 되나요?,"커뮤니티와 리뷰에 올라온 모든 사진 및 텍스트의 저작권은 해당 게시글의 작성자에게 있습니다. 본인의 개인적인 참고를 위해 저장하는 것은 가능하나, 이를 무단으로 재배포하거나 상업적 용도로 사용, 혹은 타 커뮤니티에 무단으로 게시하는 행위는 저작권법 위반으로 처벌받을 수 있습니다. 특히 타인의 얼굴이 포함된 사진은 초상권 문제가 발생할 수 있으니 각별히 유의해 주시기 바랍니다.",리뷰/커뮤니티
admin1,리뷰에 동영상을 올릴 때 배경음악(BGM)을 넣어도 될까요?,동영상 리뷰에 배경음악을 넣으실 때는 반드시 저작권이 없는(No Copyright) 음원을 사용하셔야 합니다. 유명 가수의 음원이나 유료 음원을 무단으로 사용한 영상은 저작권 침해 신고가 접수될 경우 시스템에서 자동으로 음소거 처리되거나 게시글이 삭제될 수 있습니다. 브이로그 형태의 정성스러운 리뷰를 원하신다면 유튜브 라이브러리 등에서 제공하는 무료 음원을 활용해 보시는 것을 추천드립니다.,리뷰/커뮤니티
admin1,비매너 사용자를 신고했는데 처리 결과는 어떻게 확인하나요?,"신고하신 내용은 운영팀에서 영업일 기준 24시간 이내에 검토를 마칩니다. 처리 결과는 마이페이지의 '나의 문의 내역' 또는 별도의 시스템 알림을 통해 '접수-검토중-처리완료' 상태로 확인하실 수 있습니다. 운영 정책에 따라 해당 게시글이 삭제되거나 작성자의 활동이 제한된 경우, 신고자분께 구체적인 조치 내용을 간략히 안내해 드리고 있습니다. 깨끗한 커뮤니티 환경을 위한 소중한 제보에 항상 감사드립니다.",리뷰/커뮤니티
admin1,회원 정보에서 성별이나 생년월일을 잘못 입력했는데 수정이 안 돼요.,"성별과 생년월일은 본인 인증 서비스와 연동되어 있는 데이터이기 때문에 한 번 등록되면 사용자가 직접 수정할 수 없습니다. 이는 계정 도용 방지 및 연령별 맞춤 혜택 제공의 신뢰성을 위한 조치입니다. 만약 가입 시 오기입하여 수정이 반드시 필요하시다면, 신분증 사본(주민번호 뒷자리 마스킹 필수)을 첨부하여 1:1 고객센터로 문의 주시면 본인 확인 후 운영자 권한으로 수정을 도와드리고 있습니다.",회원/포인트
admin1,아이디와 비밀번호를 다 아는데 로그인이 계속 실패한다고 떠요.,"정확한 정보를 입력했음에도 로그인이 실패한다면 '대소문자 구분'과 '키보드의 한/영 상태'를 먼저 확인해 주세요. 또한, 보안을 위해 장기간 미접속 상태였던 계정은 휴면 상태로 전환되었을 가능성이 있습니다. 이 경우 '휴면 계정 해제' 절차를 먼저 밟으셔야 합니다. 브라우저의 '자동 완성' 기능이 예전 비밀번호를 기억하고 있는 경우도 많으니, 직접 수동으로 입력해 보시거나 브라우저 캐시를 삭제한 후 재시도해 보시기 바랍니다.",회원/포인트
admin1,포인트 유효기간이 만료되기 전에 미리 알림을 받을 수 있나요?,"네, 소중한 포인트가 소멸되는 것을 방지하기 위해 유효기간 만료 30일 전과 7일 전, 총 두 번에 걸쳐 카카오 알림톡 또는 문자로 안내를 드리고 있습니다. 또한 마이페이지 포인트 탭 상단에 '당월 소멸 예정 포인트'가 항상 표시되어 있어 언제든지 확인이 가능합니다. 소멸 예정인 포인트는 예약 시 우선적으로 차감되오니, 기간 내에 꼭 사용하셔서 혜택을 놓치지 마시길 바랍니다.",회원/포인트
admin1,친구 초대 포인트를 받으려면 친구가 어떤 과정을 거쳐야 하나요?,"친구 초대 혜택을 받으시려면 먼저 고객님의 '나의 초대 코드'를 친구에게 공유해 주세요. 친구가 회원가입 시 추천인 코드란에 해당 코드를 입력하고, 본인 인증까지 완료하면 즉시 두 분 모두에게 포인트가 지급됩니다. 단, 이미 가입된 회원이거나 동일 기기에서 여러 계정을 만들어 가입하는 경우 어뷰징 방지 시스템에 의해 포인트 지급이 거절될 수 있습니다. 친구가 첫 예약을 완료하면 추가 포인트가 지급되는 이벤트도 상시 진행 중입니다.",회원/포인트
admin1,공지사항에 있는 '이용수칙'을 위반하면 계정이 정지되나요?,"공지사항에 게시된 커뮤니티 및 장소 이용 수칙은 모든 사용자의 쾌적한 환경을 위해 운영되는 최소한의 약속입니다. 이를 반복적으로 위반하거나 타인에게 심각한 피해를 주는 행위가 확인될 경우, 운영 정책에 따라 1차 경고, 2차 7일 정지, 3차 영구 정지 처분이 내려질 수 있습니다. 특히 장소 기물 파손이나 허위 리뷰 작성 등 악의적인 행위는 민형사상 책임까지 발생할 수 있으니 공지된 수칙을 반드시 준수해 주시기 바랍니다.",이벤트/공지
admin1,이벤트 당첨 확률을 높이는 꿀팁이 있을까요?,"이벤트 당첨의 가장 큰 비결은 '정성'과 '정확한 정보'입니다. 단순히 '좋아요'나 짧은 댓글보다는, 실제 서비스를 이용하며 느꼈던 구체적인 장단점이나 활용 팁을 정성스럽게 적어주시는 것이 좋습니다. 특히 직접 촬영한 고화질 사진이나 짧은 영상 리뷰를 곁들이면 당첨 확률이 대폭 상승합니다. 또한, 매달 진행되는 정기 이벤트뿐만 아니라 깜짝 퀴즈나 설문조사형 이벤트는 경쟁률이 상대적으로 낮아 당첨될 기회가 더 많습니다.",이벤트/공지
admin1,리뷰 게시판에 장소와 관련 없는 글을 올리면 어떻게 되나요?,"리뷰 게시판은 실제 이용자의 생생한 정보를 공유하는 공간입니다. 장소 이용과 전혀 관련 없는 일상 글이나 홍보글, 무의미한 텍스트 반복 등은 관리자에 의해 '자유게시판'으로 이동되거나 삭제될 수 있습니다. 특히 타 업체의 홍보나 불법적인 내용을 게시하는 경우 즉시 삭제 및 계정 정지 사유가 됩니다. 각 게시판의 성격에 맞는 글을 올려주셔야 다른 사용자들에게 신뢰받는 정보를 제공할 수 있습니다.",리뷰/커뮤니티
admin1,포인트를 사용하여 결제했는데 예약을 변경하면 포인트는 어찌되나요?,"예약 변경을 위해 기존 예약을 취소하실 경우, 결제 시 사용했던 포인트는 즉시 고객님의 계정으로 복구됩니다. 이후 새로 예약을 진행하실 때 해당 포인트를 다시 사용하실 수 있습니다. 다만, 취소 시점에 이미 유효기간이 경과한 포인트는 복구되지 않고 그대로 소멸되오니 예약 변경 전 반드시 포인트의 남은 유효기간을 확인해 주세요. 부분 취소가 발생하는 경우에는 사용한 포인트도 비율에 맞춰 부분 복구됩니다.",회원/포인트
