admin1,question,answer,category
admin1,이벤트 당첨 후 경품 배송지를 변경하고 싶은데 가능한가요?,"이벤트 당첨자 발표 직후 24시간 이내라면 고객센터 1:1 문의를 통해 배송지 변경 신청이 가능합니다. 하지만 이미 택배사에 송장 번호가 등록되어 배송이 시작된 이후에는 시스템상 주소지 변경이 절대 불가능합니다. 오배송으로 인한 경품 분실 시 재발송이 어려우므로, 이벤트 참여 전 마이페이지의 기본 배송지 정보가 최신 상태인지 반드시 확인해 주시기 바랍니다.",이벤트/공지
admin1,공지사항에 올라온 서비스 이용 약관 개정안은 꼭 읽어봐야 하나요?,"이용 약관 개정은 고객님의 소중한 개인정보 처리 방식이나 서비스 이용 규칙, 환불 정책 등의 중요한 변경 사항을 담고 있습니다. 개정안 공지 후 별도의 거부 의사를 밝히지 않고 서비스를 계속 이용하실 경우 개정된 약관에 동의한 것으로 간주됩니다. 만약 개정 내용에 동의하지 않으실 경우 회원 탈퇴를 요청하실 수 있으나, 이 경우 기존 혜택이 사라지므로 공지 내용을 꼼꼼히 검토하시길 권장합니다.",이벤트/공지
admin1,신규 회원 가입 시 주는 '웰컴 쿠폰팩'은 어떻게 사용하나요?,"가입 즉시 자동으로 발급되는 웰컴 쿠폰팩은 '마이페이지 > 쿠폰함'에서 확인하실 수 있습니다. 장소 예약 시 결제 단계에서 '쿠폰 적용' 버튼을 누르면 조건에 맞는 쿠폰이 목록에 나타납니다. 웰컴 쿠폰은 보통 가입 후 30일 이내에만 사용 가능하며, 최소 결제 금액 제한이 있을 수 있으니 상세 조건을 확인해 주세요. 첫 예약을 더욱 저렴하게 이용하실 수 있는 가장 좋은 기회입니다.",이벤트/공지
admin1,장소 내부에 촬영용 전문 조명 장비가 구비되어 있나요?,"촬영 스튜디오나 파티룸으로 등록된 공간의 경우, 기본적인 지속광 조명 2대와 반사판 등이 무료로 제공되는 곳이 많습니다. 하지만 스트로보(순간광)나 특수 효과 조명은 별도의 대여료가 발생하거나 개인이 직접 지참해야 할 수 있습니다. 장소 상세 페이지의 '구비 물품' 리스트를 확인하시고, 모델명까지 궁금하시다면 예약 전 '관리자에게 문의하기' 기능을 통해 상세 스펙을 확인하시는 것이 촬영 실패를 줄이는 길입니다.",장소/정보
admin1,예약한 시간에 조금 늦게 도착할 것 같은데 입장이 제한되나요?,"예약 시간보다 늦게 도착하시는 것은 자유로우나, 늦으신 만큼 이용 시간이 뒤로 연장되지는 않습니다. 다음 예약팀과의 일정 때문에 정해진 퇴실 시간은 엄격히 지켜주셔야 합니다. 만약 30분 이상 늦으실 경우 현장 관리자가 '노쇼(No-Show)'로 판단하여 문을 잠글 수도 있으니, 늦으실 것 같다면 반드시 예약 내역에 있는 매장 연락처로 미리 전화 한 통 부탁드립니다.",장소/정보
admin1,대관한 장소 내에서 흡연이 가능한가요? 별도 흡연실이 있나요?,"저희 서비스에 등록된 모든 실내 공간은 국민건강증진법에 따라 원칙적으로 금역 구역입니다. 실내 흡연 적발 시 즉시 퇴실 조치 및 청소 위약금이 부과될 수 있습니다. 건물 내부에 별도의 흡연실이 있는 경우 상세 페이지에 안내되어 있으며, 그렇지 않은 경우 건물 외부의 지정된 흡연 장소를 이용해 주셔야 합니다. 쾌적한 공간 이용을 위해 금연 정책을 반드시 준수해 주시기 바랍니다.",장소/정보
admin1,법인 카드로 결제했는데 승인 취소 후 영수증은 어디서 보나요?,"법인 카드 결제 취소가 완료되면 마이페이지의 해당 예약 내역 상태가 '취소 완료'로 변경됩니다. 취소 영수증(매출전표 취소분)은 결제 대행사(PG사) 이메일로 자동 발송되거나, 마이페이지 상세 보기 메뉴에서 다시 출력하실 수 있습니다. 법인 카드 취소는 카드사 시스템 반영까지 일반 개인 카드보다 1~2일 더 소요될 수 있으니, 며칠 뒤 카드사 앱이나 웹사이트를 통해 최종 취소 여부를 확인하시기 바랍니다.",예약/결제
admin1,결제 단계에서 '포인트 전액 사용'이 활성화되지 않는 이유는 무엇인가요?,"포인트 전액 사용이 안 되는 경우는 크게 두 가지입니다. 첫째, 보유하신 포인트가 1,000점 미만일 경우(최소 사용 단위 미달)입니다. 둘째, 해당 장소가 '포인트 사용 제한 매장'이거나 이미 다른 파격 할인 쿠폰을 적용하여 중복 혜택이 금지된 경우입니다. 결제창 상단의 안내 메시지를 확인해 보시고, 문제가 지속된다면 포인트의 유효기간이 만료되지 않았는지 마이페이지에서 다시 확인 부탁드립니다.",예약/결제
admin1,현금영수증 발행 번호를 잘못 입력했는데 수정이 가능한가요?,결제 시 입력하신 현금영수증 번호는 이미 국세청으로 전송된 상태이므로 직접 수정이 어렵습니다. 이 경우 결제 당일 이내에 고객센터로 연락 주셔서 기존 발행분을 취소하고 재발행 요청을 하셔야 합니다. 이미 날짜가 지났다면 고객님께서 직접 국세청 홈택스(Hometax) 사이트에 접속하여 '자진발급분 소비자 등록' 메뉴를 통해 본인의 휴대폰 번호나 카드 번호로 등록을 변경하실 수 있습니다.,예약/결제
admin1,미성년자도 장소 예약 및 이용이 가능한가요?,일반 스터디룸이나 카페 형태의 공간은 미성년자도 이용 가능합니다. 하지만 주류 판매가 허용된 파티룸이나 밤샘 대관 서비스의 경우 청소년보호법에 따라 보호자 동반 없이는 이용이 제한됩니다. 또한 만 14세 미만 어린이는 개인정보 수집 동의를 위해 부모님의 인증이 필요할 수 있습니다. 장소마다 연령 제한 규정이 다르니 이용 규칙 탭의 '연령 제한' 안내를 꼭 확인 후 예약해 주세요.,장소/정보
admin1,예약 인원을 중간에 변경(추가/감소)하고 싶은데 어떻게 하나요?,"예약 완료 후 인원을 줄이는 것은 시스템상 부분 환불이 불가능하여 전체 취소 후 재예약하셔야 합니다(취소 수수료 주의). 인원을 늘리는 경우, 장소의 최대 수용 인원을 넘지 않는다면 현장에서 관리자에게 현금 또는 카드 결제로 차액을 지불하시는 것이 가장 간편합니다. 인원 변경에 따른 결제 증빙이 꼭 필요하시다면 사전에 고객센터를 통해 변경 가능 여부를 상담받으시길 권장합니다.",예약/결제
admin1,"장소 내 시설물(TV, 빔프로젝터 등) 사용법을 미리 알 수 있나요?","각 장소의 예약 확정 페이지 또는 매장에 비치된 가이드북에 상세 사용법이 기재되어 있습니다. 빔프로젝터의 경우 HDMI 케이블은 기본 제공되나, 최신 맥북이나 아이패드를 사용하신다면 전용 변환 젠더(C-type)를 직접 지참하셔야 하는 경우가 많습니다. 사용법이 복잡한 음향 장비 등은 예약 시 메모를 남겨주시면 관리자가 미리 세팅해 두거나 사용법 영상을 문자로 보내드리기도 합니다.",장소/정보
admin1,회원 등급별 포인트 적립률이 구체적으로 어떻게 다른가요?,"저희 서비스는 일반(1%), 실버(2%), 골드(3%), VIP(5%) 총 4단계 등급제로 운영됩니다. 실버는 최근 3개월간 이용 횟수 3회 이상, 골드는 5회 이상, VIP는 10회 이상일 경우 자동으로 승급됩니다. 높은 등급일수록 포인트 적립률뿐만 아니라 전용 할인 쿠폰 발급 횟수와 인기 장소 우선 예약권 등 다양한 프리미엄 혜택이 제공되오니 꾸준한 이용으로 높은 등급의 혜택을 누려보세요.",회원/포인트
admin1,아이디를 이메일 주소로 만들었는데 나중에 이메일이 바뀌면 어떡하죠?,"아이디로 설정하신 이메일 주소 자체는 변경이 불가능하지만, 서비스 공지나 예약 정보를 받는 '수신용 이메일'은 마이페이지 회원정보 수정에서 언제든지 변경 가능합니다. 만약 아이디인 이메일 계정을 더 이상 사용할 수 없어 비밀번호 찾기 등이 불가능할 경우를 대비해, 휴대폰 번호를 미리 최신화해 두시거나 본인 인증 수단을 추가로 등록해 두시면 계정 분실 위험을 방지할 수 있습니다.",회원/포인트
admin1,리뷰에 동영상을 업로드할 수 있나요? 용량 제한이 궁금합니다.,"네, 생생한 현장감을 위해 동영상 리뷰 기능을 지원합니다. 최대 30초 내외, 50MB 이하의 MP4 또는 MOV 파일 업로드가 가능합니다. 동영상 리뷰를 작성해 주시면 사진 리뷰보다 더 높은 800포인트를 적립해 드리며, 베스트 리뷰 선정 확률도 훨씬 높아집니다. 다만, 저작권이 있는 음악이 배경으로 포함되거나 타인의 얼굴이 무단으로 노출된 영상은 관리자에 의해 블라인드 처리될 수 있으니 주의해 주세요.",리뷰/커뮤니티
admin1,내가 작성한 커뮤니티 글에 달린 댓글을 삭제할 수 있나요?,"본인의 글에 달린 댓글이라도 작성자의 권리를 존중하여 직접 삭제하실 수는 없습니다. 하지만 해당 댓글이 욕설, 비방, 광고 등 커뮤니티 가이드라인을 위반한 경우 '신고' 버튼을 눌러주시면 운영팀에서 확인 후 즉시 삭제 조치합니다. 본인이 직접 단 댓글은 언제든지 수정 및 삭제가 가능하며, 삭제된 댓글은 데이터베이스에서 즉시 파기되어 다시 복구되지 않으니 신중하게 결정해 주시기 바랍니다.",리뷰/커뮤니티
admin1,커뮤니티의 '자유게시판'과 '정보공유' 게시판의 차이는 무엇인가요?,"자유게시판은 장소 이용 후기 외에도 신촌 인근 맛집 정보나 일상적인 대화를 자유롭게 나누는 공간입니다. 반면 정보공유 게시판은 특정 장소의 이용 팁, 할인 코드 공유, 스터디 멤버 모집 등 서비스 이용과 직접적으로 관련된 유용한 정보를 주고받는 곳입니다. 게시판 성격에 맞는 글을 올려주시면 다른 사용자들의 호응과 댓글을 더 많이 받으실 수 있으며, 정보성 글은 관리자가 공지로 등록하기도 합니다.",리뷰/커뮤니티
admin1,공지사항 알림을 카카오톡 알림톡으로 받고 싶어요.,"서비스 가입 시 '휴대폰 번호 인증'을 완료하신 고객님께는 예약 확정, 취소 등의 필수 정보가 카카오 알림톡으로 기본 발송됩니다. 만약 알림톡이 오지 않는다면 카카오톡에서 저희 서비스 채널을 차단하지 않았는지 확인해 주세요. 채널을 차단하신 경우 일반 문자 메시지(LMS)로 전환되어 발송됩니다. 마케팅성 공지 알림톡 수신은 마이페이지 설정에서 '알림톡 수신 동의'를 체크하시면 됩니다.",이벤트/공지
